millis,year,month,day,hour,minute,second,voltage,satellites,hdop,gps_altitude_m,course,speed_mps,latitude,longitude,temperature_C,pressure_Pa,pressure_altitude_m,humidity_RH,
118960,2021,9,25,17,27,55,4.37,7,1.86,650.40,166.8,0.1,47.16075134,-120.84841918,19.83,93887.58,638.48,41.23,
119962,2021,9,25,17,27,56,4.37,7,1.86,650.40,271.3,0.3,47.16075897,-120.84842681,19.85,93886.92,638.54,40.88,
120964,2021,9,25,17,27,57,4.40,7,1.86,650.40,271.3,0.3,47.16075897,-120.84842681,19.89,93890.63,638.21,40.98,
121966,2021,9,25,17,27,58,4.37,7,1.86,650.40,271.3,0.3,47.16075515,-120.84842681,19.91,93891.58,638.12,41.68,
122968,2021,9,25,17,27,59,4.31,7,1.86,650.40,271.3,0.1,47.16075134,-120.84842681,19.92,93895.80,637.75,41.73,
123971,2021,9,25,17,28,0,4.40,7,1.86,650.40,271.3,0.1,47.16074752,-120.84842681,19.95,93889.22,638.33,43.30,
124976,2021,9,25,17,28,1,4.37,7,1.86,650.40,243.7,0.5,47.16075515,-120.84842681,19.96,93890.80,638.19,44.67,
125977,2021,9,25,17,28,2,4.34,7,1.86,650.40,243.7,0.3,47.16076278,-120.84843444,19.98,93891.75,638.11,44.45,
126985,2021,9,25,17,28,2,4.37,8,1.86,653.00,243.7,0.3,47.16076278,-120.84843444,20.03,93891.77,638.11,43.78,
127991,2021,9,25,17,28,4,4.40,7,1.94,652.80,243.7,0.2,47.16075897,-120.84843444,20.07,93889.41,638.32,43.59,
128995,2021,9,25,17,28,5,4.34,6,2.05,652.60,243.7,0.2,47.16076278,-120.84842681,20.11,93891.80,638.10,42.49,
129996,2021,9,25,17,28,6,4.37,7,1.94,652.80,349.0,0.8,47.16076660,-120.84842681,20.14,93898.28,637.53,41.69,
131001,2021,9,25,17,28,7,4.40,5,2.05,652.80,349.0,0.2,47.16077041,-120.84842681,20.18,93891.44,638.14,40.76,
132006,2021,9,25,17,28,8,4.37,7,1.94,653.00,351.5,0.3,47.16077041,-120.84842681,20.23,93895.41,637.78,40.09,
133007,2021,9,25,17,28,9,4.40,6,2.05,653.20,351.5,6.2,47.16079330,-120.84838867,20.27,93893.86,637.92,39.99,
134012,2021,9,25,17,28,10,4.37,7,15.74,653.80,19.6,8.0,47.16087341,-120.84835815,20.31,93895.44,637.78,39.49,
135015,2021,9,25,17,28,11,4.40,6,15.71,657.30,9.2,2.2,47.16088485,-120.84835052,20.34,93890.44,638.23,39.34,
136017,2021,9,25,17,28,12,4.37,7,2.05,660.10,9.2,1.5,47.16089248,-120.84835052,20.39,93892.72,638.02,39.21,
137021,2021,9,25,17,28,13,4.37,7,2.06,662.60,9.2,0.7,47.16087722,-120.84834289,20.45,93891.80,638.10,39.26,
138027,2021,9,25,17,28,14,4.37,8,2.05,663.10,142.2,2.2,47.16082382,-120.84835052,20.49,93893.68,637.94,39.78,
139032,2021,9,25,17,28,15,4.43,8,1.86,661.00,155.6,2.5,47.16075897,-120.84834289,20.53,93889.08,638.34,40.20,
140034,2021,9,25,17,28,16,4.37,8,1.86,661.10,159.0,2.6,47.16071701,-120.84832763,20.60,93890.16,638.25,40.27,
141040,2021,9,25,17,28,17,4.40,8,1.86,661.50,162.0,2.3,47.16067504,-120.84832000,20.64,93893.86,637.92,40.04,
142043,2021,9,25,17,28,18,4.40,7,1.94,660.90,162.0,0.3,47.16067504,-120.84832763,20.69,93889.40,638.32,40.21,
143047,2021,9,25,17,28,19,4.37,7,1.94,661.60,162.0,0.1,47.16069412,-120.84835052,20.74,93891.64,638.12,39.74,
144049,2021,9,25,17,28,20,4.37,7,1.94,661.20,162.0,0.0,47.16070938,-120.84836578,20.80,93890.61,638.21,39.67,
145054,2021,9,25,17,28,21,4.40,7,1.94,661.10,162.0,0.0,47.16071701,-120.84838104,20.86,93890.08,638.26,40.07,
146057,2021,9,25,17,28,22,4.40,7,1.94,659.70,162.0,0.1,47.16073226,-120.84839630,20.92,93888.25,638.42,40.13,
147062,2021,9,25,17,28,23,4.40,8,1.22,658.20,162.0,0.1,47.16072845,-120.84839630,20.95,93888.53,638.39,38.79,
148064,2021,9,25,17,28,24,4.37,8,1.22,657.70,162.0,0.2,47.16072463,-120.84839630,21.00,93893.02,638.00,38.67,
149070,2021,9,25,17,28,25,4.40,8,1.22,659.00,162.0,0.2,47.16074371,-120.84841918,21.03,93892.50,638.04,38.70,
150072,2021,9,25,17,28,26,4.40,8,1.22,659.10,162.5,0.4,47.16075134,-120.84842681,21.02,93890.89,638.19,38.57,
151077,2021,9,25,17,28,27,4.37,8,1.22,659.60,162.5,0.2,47.16075515,-120.84842681,21.07,93889.20,638.33,38.22,
152079,2021,9,25,17,28,28,4.40,8,1.22,659.70,162.5,0.3,47.16075134,-120.84843444,21.04,93888.26,638.42,37.43,
153085,2021,9,25,17,28,29,4.40,8,1.22,659.80,162.5,0.2,47.16074752,-120.84843444,21.06,93887.99,638.44,37.46,
154087,2021,9,25,17,28,30,4.34,8,1.04,659.10,162.5,0.2,47.16075134,-120.84843444,21.14,93889.74,638.29,37.47,
155092,2021,9,25,17,28,31,4.40,8,1.04,657.80,162.5,0.1,47.16073989,-120.84843444,21.16,93885.89,638.63,37.38,
